UI/UX,Programming,Operational,Data Science,Cybersecurity,Quality Assurance,Computer Network,Label
0.99,0.98,0.79,0.94,0.94,0.73,0.93,UI/UX
0.94,0.72,0.85,0.91,0.7,0.9,0.79,UI/UX
0.81,0.62,0.86,0.76,0.83,0.76,0.79,Operational
0.67,0.92,0.78,0.79,0.65,0.63,0.89,Programming
0.84,0.88,0.7,0.6,0.75,0.75,0.8,Programming
0.74,0.67,0.82,0.87,0.56,0.95,0.63,Quality Assurance
0.72,0.69,0.89,0.81,0.85,0.95,0.89,Quality Assurance
0.82,0.72,0.56,1.0,0.61,0.73,0.81,Data Science
0.89,0.9,0.8,0.68,0.75,0.94,0.92,Quality Assurance
0.82,0.78,0.76,0.58,0.94,0.77,0.97,Computer Network
0.76,0.9,0.74,0.65,0.75,0.92,0.99,Computer Network
0.89,0.92,0.9,0.89,0.82,0.63,0.96,Computer Network
0.93,0.87,0.95,0.75,0.66,0.82,0.81,Operational
0.82,0.81,0.7,0.95,0.86,0.92,0.99,Computer Network
0.66,0.67,0.95,0.72,0.82,1.0,0.82,Quality Assurance
0.81,0.72,0.66,0.59,0.95,0.65,0.72,Cybersecurity
0.84,0.63,0.93,0.87,0.62,0.66,0.98,Computer Network
0.66,0.83,0.93,0.94,0.93,0.85,0.91,Data Science
0.67,0.64,0.8,0.71,0.87,0.65,0.77,Cybersecurity
0.94,0.66,0.85,0.88,0.7,0.86,0.63,UI/UX
0.75,0.96,0.83,0.9,0.85,0.76,0.68,Programming
0.83,0.71,0.63,0.63,0.96,0.68,0.73,Cybersecurity
0.85,0.55,0.73,0.93,0.94,0.88,0.71,Cybersecurity
0.83,0.77,0.79,0.78,0.88,0.9,0.63,Quality Assurance
0.82,0.93,0.69,0.81,0.91,0.64,0.84,Programming
0.76,0.9,0.82,0.91,0.88,0.98,0.71,Quality Assurance
0.72,0.87,0.64,0.69,0.6,0.63,0.95,Computer Network
0.84,0.83,0.71,0.86,0.71,0.6,0.84,Data Science
0.8,0.92,0.75,0.85,0.84,0.78,0.88,Programming
0.83,0.65,0.64,0.84,0.57,0.8,1.0,Computer Network
0.91,0.69,0.85,0.95,0.66,0.92,0.84,Data Science
0.88,0.7,0.93,0.8,0.87,0.66,0.8,Operational
0.83,0.88,0.87,0.87,0.81,0.61,0.75,Programming
0.91,0.65,0.99,0.78,0.69,0.63,0.67,Operational
0.73,0.73,0.86,0.88,0.88,0.61,1.0,Computer Network
0.77,0.64,0.78,0.65,0.73,0.91,0.62,Quality Assurance
0.87,0.83,0.77,0.88,0.6,0.85,0.98,Computer Network
0.67,0.64,0.8,0.71,0.87,0.65,0.77,Cybersecurity
0.89,0.96,0.63,0.89,0.67,0.94,0.93,Programming
0.69,1.0,0.88,0.9,0.84,0.86,0.73,Programming
0.76,0.9,0.82,0.91,0.88,0.98,0.71,Quality Assurance
0.75,0.94,0.85,0.68,0.88,0.94,0.82,Programming
0.95,0.6,0.86,0.7,0.63,0.78,0.71,UI/UX
0.88,0.82,0.8,0.88,0.66,0.87,0.99,Computer Network
0.64,0.86,0.69,0.85,0.86,0.66,0.62,Programming
0.91,0.69,0.85,0.95,0.66,0.92,0.84,Data Science
0.77,0.99,0.87,0.85,0.67,0.95,0.77,Programming
0.8,0.86,0.85,0.88,0.79,0.63,0.7,Data Science
0.95,0.93,0.79,0.94,0.81,0.86,0.77,UI/UX
0.94,0.66,0.85,0.88,0.7,0.86,0.63,UI/UX
0.6,0.86,0.8,0.73,0.92,0.89,0.66,Cybersecurity
0.95,0.78,0.81,0.74,0.84,0.67,0.76,UI/UX
0.84,0.93,0.95,0.69,0.68,0.84,0.76,Operational
0.88,0.88,0.92,0.86,0.83,0.62,0.95,Computer Network
0.9,0.78,0.83,0.75,0.88,0.91,0.71,Quality Assurance
0.62,0.88,0.99,0.7,0.66,0.65,0.72,Operational
1.0,0.92,0.6,0.94,0.77,0.77,0.96,UI/UX
0.81,0.81,0.76,0.67,0.62,0.84,0.7,Quality Assurance
0.71,0.69,0.8,0.86,0.88,0.86,0.88,Cybersecurity
0.93,0.79,0.9,0.99,0.9,0.65,0.87,Data Science
0.85,0.64,0.91,0.95,0.66,0.85,0.86,Data Science
0.76,0.71,0.75,0.92,0.7,0.79,0.84,Data Science
0.92,0.87,0.8,0.8,0.9,0.71,0.72,UI/UX
0.67,0.77,0.63,0.88,1.0,0.85,0.84,Cybersecurity
0.74,0.89,0.97,0.93,0.91,0.9,0.95,Operational
0.74,0.91,0.86,0.67,0.67,0.64,0.86,Programming
0.68,0.86,0.96,0.87,0.91,0.77,0.97,Computer Network
0.89,0.66,0.95,0.6,0.83,0.96,0.86,Quality Assurance
0.91,0.96,0.98,0.91,0.73,0.88,0.78,Operational
0.72,0.61,0.78,0.82,0.7,0.82,0.88,Computer Network
0.93,0.92,0.9,0.75,0.63,0.74,0.69,UI/UX
0.61,0.86,0.76,0.81,0.87,0.87,0.66,Cybersecurity
0.9,0.84,0.78,0.86,0.63,0.86,0.94,Computer Network
0.93,0.96,0.89,0.7,0.77,0.96,0.77,Programming
0.74,0.7,0.77,0.82,0.84,0.63,0.95,Computer Network
1.0,0.55,0.8,0.85,0.74,0.63,0.84,UI/UX
1.0,0.92,1.0,0.66,0.84,0.98,0.68,UI/UX
0.79,0.83,0.9,0.64,0.94,0.95,0.88,Quality Assurance
0.67,0.68,0.87,0.81,0.67,0.61,0.89,Computer Network
0.6,0.75,0.87,0.83,0.9,0.97,0.87,Quality Assurance
0.97,0.74,0.87,0.83,0.76,0.68,0.63,UI/UX
0.98,0.75,0.71,0.86,0.76,0.61,0.66,UI/UX
0.66,0.92,0.68,0.67,0.67,0.93,0.87,Quality Assurance
0.75,0.66,0.96,0.75,0.8,0.96,0.82,Operational
0.71,0.95,0.83,0.66,0.64,0.64,0.82,Programming
0.66,0.71,0.75,0.79,0.66,0.82,0.92,Computer Network
0.73,0.79,0.67,0.8,0.76,0.73,0.76,Data Science
0.7,0.64,0.94,0.68,0.82,0.75,0.81,Operational
0.91,0.88,0.83,0.79,0.62,1.0,0.63,Quality Assurance
0.61,0.95,0.96,0.89,0.83,0.99,0.73,Quality Assurance
0.83,0.94,0.94,0.84,0.96,0.69,0.89,Cybersecurity
0.91,0.88,0.83,0.79,0.62,1.0,0.63,Quality Assurance
0.94,0.72,0.85,0.91,0.7,0.9,0.79,UI/UX
0.8,0.86,0.85,0.88,0.79,0.63,0.7,Data Science
0.89,0.9,0.8,0.68,0.75,0.94,0.92,Quality Assurance
0.65,0.94,0.91,0.66,1.0,0.84,0.58,Cybersecurity
0.77,0.78,0.67,0.92,0.88,0.69,0.63,Data Science
0.93,0.84,0.65,0.98,0.85,0.69,0.66,Data Science
0.94,0.87,0.88,0.89,0.87,1.0,0.79,Quality Assurance
0.83,0.74,0.88,0.93,0.93,0.74,0.63,Data Science
0.78,0.85,0.86,0.96,0.85,0.85,0.63,Data Science
0.83,0.65,0.64,0.84,0.57,0.8,1.0,Computer Network
0.79,0.62,0.87,0.91,0.6,0.85,0.88,Data Science
0.78,0.85,0.78,0.64,0.85,0.75,0.59,Programming
0.71,0.71,0.74,0.83,0.99,0.65,0.86,Cybersecurity
0.94,0.66,0.85,0.88,0.7,0.86,0.63,UI/UX
0.74,0.66,0.65,0.84,0.75,0.63,0.74,Data Science
0.83,0.84,0.6,0.8,0.88,0.82,0.77,Cybersecurity
0.82,0.88,0.63,0.78,0.7,0.69,0.98,Computer Network
0.82,0.81,0.83,0.92,0.84,0.69,0.63,Data Science
0.81,0.62,0.86,0.76,0.83,0.76,0.79,Operational
0.81,0.63,0.96,0.9,0.97,1.0,0.85,Quality Assurance
0.61,0.72,0.9,0.6,0.95,0.75,0.68,Cybersecurity
0.72,0.67,0.88,0.77,0.78,0.76,0.65,Operational
0.97,0.74,0.83,0.85,0.61,0.87,0.67,UI/UX
0.65,0.96,0.95,0.84,0.84,0.87,0.67,Programming
0.66,0.63,0.82,0.74,0.95,0.75,0.97,Computer Network
0.85,0.91,0.65,0.76,0.94,0.75,0.83,Cybersecurity
0.89,0.8,0.95,0.9,0.61,0.63,0.88,Operational
0.9,0.61,0.7,0.89,0.96,0.8,0.81,Cybersecurity
0.71,0.92,0.89,0.71,0.64,0.63,0.84,Programming
0.62,0.82,0.69,0.88,0.81,1.0,0.64,Quality Assurance
0.74,0.83,0.68,0.91,0.86,0.67,0.8,Data Science
0.66,0.81,0.76,0.74,0.96,0.61,0.87,Cybersecurity
0.82,0.81,0.83,0.92,0.84,0.69,0.63,Data Science
0.88,0.7,0.93,0.8,0.87,0.66,0.8,Operational
0.64,0.87,0.78,0.95,0.67,0.88,0.94,Data Science
0.94,0.59,0.88,0.94,0.66,0.79,0.99,Computer Network
0.85,0.87,0.92,0.7,0.91,0.9,0.84,Operational
0.95,0.93,0.79,0.94,0.81,0.86,0.77,UI/UX
0.95,0.79,0.6,0.68,0.82,1.0,0.83,Quality Assurance
0.93,0.7,0.97,0.79,0.82,0.59,0.85,Operational
0.68,0.91,0.63,0.6,0.76,0.85,0.91,Programming
0.82,0.59,0.65,0.92,0.8,0.95,0.76,Quality Assurance
0.67,0.82,0.73,0.82,0.85,0.69,0.65,Cybersecurity
0.77,0.98,0.83,0.65,0.83,0.87,0.82,Programming
0.8,0.72,0.91,0.68,0.65,0.84,0.83,Operational
0.75,0.86,0.7,0.85,0.6,0.59,0.97,Computer Network
1.0,0.79,0.62,0.89,0.93,0.7,0.86,UI/UX
0.77,0.9,0.87,0.68,0.85,0.8,0.86,Programming
0.88,0.82,0.9,0.79,0.93,0.78,0.72,Cybersecurity
0.76,0.86,0.82,0.62,0.81,0.92,0.78,Quality Assurance
0.74,0.89,0.97,0.93,0.91,0.9,0.95,Operational
0.87,0.69,1.0,0.76,0.69,0.66,0.69,Operational
0.85,0.76,0.64,0.79,0.98,0.58,0.86,Cybersecurity
0.79,0.87,0.8,0.99,0.72,0.85,0.84,Data Science
0.9,0.68,0.87,1.0,0.67,0.97,0.94,Data Science
0.75,0.79,0.76,0.75,0.69,0.83,0.88,Computer Network
0.74,0.83,0.68,0.91,0.86,0.67,0.8,Data Science
0.65,0.68,0.67,0.72,0.65,0.96,0.84,Quality Assurance
0.64,0.77,0.92,0.62,0.93,0.68,0.63,Cybersecurity
0.95,0.92,0.79,0.84,0.69,0.84,0.83,UI/UX
0.95,0.93,0.93,0.88,0.87,0.72,0.92,UI/UX
0.95,0.69,0.64,0.61,0.86,0.84,0.82,UI/UX
0.67,0.87,0.97,0.82,0.83,0.71,0.91,Operational
0.85,0.68,0.93,1.0,0.71,0.68,1.0,Data Science
0.74,0.8,0.79,0.64,0.88,0.87,0.65,Cybersecurity
0.85,0.73,0.94,0.66,0.62,0.9,0.77,Operational
0.82,0.88,0.63,0.78,0.7,0.69,0.98,Computer Network
0.93,0.93,0.86,0.75,0.79,0.96,0.78,Quality Assurance
0.89,0.79,0.95,0.96,0.77,0.71,0.84,Data Science
0.87,0.62,0.63,0.89,0.63,0.63,0.6,Data Science
0.93,0.91,0.86,0.78,0.69,0.75,0.93,UI/UX
0.6,0.75,0.87,0.83,0.9,0.97,0.87,Quality Assurance
0.67,0.77,0.63,0.88,1.0,0.85,0.84,Cybersecurity
0.72,0.82,0.94,0.87,0.78,0.9,0.73,Operational
0.97,0.64,0.85,0.87,0.69,0.91,0.91,UI/UX
0.75,0.96,0.83,0.9,0.85,0.76,0.68,Programming
0.62,0.85,1.0,0.67,0.68,0.65,0.76,Operational
0.88,0.96,0.91,0.7,0.81,0.93,0.74,Programming
0.92,0.87,0.8,0.8,0.9,0.71,0.72,UI/UX
0.71,1.0,0.96,0.6,0.79,0.96,0.98,Programming
0.9,0.78,0.83,0.75,0.88,0.91,0.71,Quality Assurance
0.65,0.94,0.91,0.66,1.0,0.84,0.58,Cybersecurity
0.77,0.9,0.87,0.68,0.85,0.8,0.86,Programming
0.86,0.64,0.84,0.67,0.96,0.75,0.96,Cybersecurity
