UI/UX,Programming,Operational,Data Science,Cybersecurity,Quality Assurance,Computer Network,Project Management,Product Manager,Entrepreneur,Business/Commerce/Ideation,Label
0.6,0.7,0.7,0.7,0.7,0.6,0.6,1.0,0.8,0.8,0.9,Project Management
1.0,0.9,0.9,0.7,0.6,0.8,0.7,0.9,0.7,1.0,0.9,Entrepreneur
0.7,1.0,0.8,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,Programming
0.6,0.9,0.7,0.9,0.9,0.7,0.6,0.9,0.8,0.6,1.0,Business/Commerce/Ideation
0.9,0.6,0.9,0.7,0.9,0.8,0.7,0.7,0.9,0.7,0.9,Business/Commerce/Ideation
0.7,0.9,0.6,1.0,0.9,0.7,0.6,0.9,0.9,0.9,0.9,Data Science
0.8,0.8,0.8,0.8,0.7,0.8,0.9,0.7,0.9,0.9,0.9,Business/Commerce/Ideation
0.9,0.8,0.8,0.8,0.7,0.9,0.8,0.7,0.9,0.8,0.8,Product Manager
0.7,0.8,0.9,0.9,0.7,0.9,0.7,0.7,0.9,0.9,0.9,Business/Commerce/Ideation
0.7,0.9,0.9,0.7,0.6,0.6,0.8,0.9,0.7,0.7,0.6,Programming
1.0,1.0,1.0,0.8,0.7,0.9,0.8,0.7,0.8,0.6,1.0,Programming
0.9,0.8,0.9,0.6,0.7,0.8,0.7,0.7,0.9,0.8,0.7,Product Manager
0.9,0.9,1.0,0.6,0.8,0.8,1.0,0.7,0.7,0.8,0.8,Operational
0.9,0.8,0.9,0.8,0.8,1.0,0.7,0.9,0.8,0.8,0.7,Quality Assurance
0.8,0.8,0.8,0.8,0.9,0.9,0.6,1.0,0.7,0.6,1.0,Business/Commerce/Ideation
0.7,0.7,0.6,0.7,0.9,0.8,0.7,1.0,0.8,0.8,0.9,Project Management
0.6,0.9,0.9,0.8,0.8,0.7,0.9,0.6,0.8,0.7,0.8,Operational
0.8,0.9,0.9,1.0,0.7,1.0,0.8,0.7,0.8,1.0,0.8,Entrepreneur
0.9,0.9,0.9,0.9,0.6,0.8,0.6,0.8,0.8,1.0,0.7,Entrepreneur
0.7,0.9,0.8,0.9,1.0,0.9,0.6,0.9,0.7,0.7,0.9,Cybersecurity
0.7,0.8,0.8,0.7,1.0,0.9,0.7,0.9,0.8,0.9,0.9,Cybersecurity
0.6,0.8,0.9,0.6,0.7,0.7,0.9,1.0,0.9,0.8,0.9,Business/Commerce/Ideation
